Date,Close
2020-01-01,184.45
2020-01-02,193.75
2020-01-03,191.1
2020-01-06,185.65
2020-01-07,184.7
2020-01-08,182.55
2020-01-09,192.0
2020-01-10,196.35
2020-01-13,196.25
2020-01-14,195.85
2020-01-15,200.35
2020-01-16,197.55
2020-01-17,197.3
2020-01-20,195.0
2020-01-21,191.4
2020-01-22,185.6
2020-01-23,188.4
2020-01-24,186.5
2020-01-27,182.2
2020-01-28,176.1
2020-01-29,188.05
2020-01-30,186.2
2020-01-31,176.6
2020-02-01,165.6
2020-02-03,163.85
2020-02-04,165.7
2020-02-05,183.75
2020-02-06,178.85
2020-02-07,173.6
2020-02-10,168.9
2020-02-11,169.75
2020-02-12,170.95
2020-02-13,169.5
2020-02-14,169.1
2020-02-17,169.1
2020-02-18,161.6
2020-02-19,158.05
2020-02-20,158.5
2020-02-24,150.65
2020-02-25,149.9
2020-02-26,144.55
2020-02-27,145.25
2020-02-28,128.95
2020-03-02,125.4
2020-03-03,130.35
2020-03-04,126.2
2020-03-05,125.75
2020-03-06,114.2
2020-03-09,105.7
2020-03-11,98.9
2020-03-12,88.0
2020-03-13,89.75
2020-03-16,82.95
2020-03-17,77.95
2020-03-18,75.5
2020-03-19,72.95
2020-03-20,77.3
2020-03-23,66.2
2020-03-24,68.55
2020-03-25,70.25
2020-03-26,70.8
2020-03-27,70.7
2020-03-30,68.15
2020-03-31,71.05
2020-04-01,67.95
2020-04-03,65.3
2020-04-07,67.25
2020-04-08,67.6
2020-04-09,74.6
2020-04-13,74.25
2020-04-15,72.9
2020-04-16,74.65
2020-04-17,76.85
2020-04-20,80.45
2020-04-21,74.65
2020-04-22,75.9
2020-04-23,75.65
2020-04-24,74.2
2020-04-27,75.25
2020-04-28,76.95
2020-04-29,78.15
2020-04-30,93.25
2020-05-04,83.9
2020-05-05,80.9
2020-05-06,83.2
2020-05-07,82.5
2020-05-08,81.05
2020-05-11,86.1
2020-05-12,86.2
2020-05-13,87.2
2020-05-14,83.8
2020-05-15,84.35
2020-05-18,80.65
2020-05-19,81.8
2020-05-20,83.45
2020-05-21,84.1
2020-05-22,82.8
2020-05-26,83.1
2020-05-27,84.55
2020-05-28,87.0
2020-05-29,87.0
2020-06-01,89.55
2020-06-02,96.5
2020-06-03,98.75
2020-06-04,98.5
2020-06-05,110.75
2020-06-08,115.45
2020-06-09,111.45
2020-06-10,111.4
2020-06-11,106.15
2020-06-12,105.3
2020-06-15,100.5
2020-06-16,94.75
2020-06-17,95.4
2020-06-18,96.35
2020-06-19,102.5
2020-06-22,102.65
2020-06-23,104.4
2020-06-24,104.8
2020-06-25,103.8
2020-06-26,101.4
2020-06-29,99.45
2020-06-30,98.25
2020-07-01,100.75
2020-07-02,101.55
2020-07-03,103.45
2020-07-06,109.0
2020-07-07,109.05
2020-07-08,105.35
2020-07-09,106.95
2020-07-10,107.6
2020-07-13,108.0
2020-07-14,105.15
2020-07-15,103.2
2020-07-16,102.95
2020-07-17,106.4
2020-07-20,105.05
2020-07-21,108.45
2020-07-22,105.15
2020-07-23,106.05
2020-07-24,103.75
2020-07-27,101.7
2020-07-28,106.45
2020-07-29,105.75
2020-07-30,103.65
2020-07-31,104.65
2020-08-03,113.05
2020-08-04,111.45
2020-08-05,115.4
2020-08-06,116.8
2020-08-07,119.1
2020-08-10,123.85
2020-08-11,122.3
2020-08-12,125.35
2020-08-13,131.15
2020-08-14,124.6
2020-08-17,123.55
2020-08-18,125.6
2020-08-19,125.15
2020-08-20,121.7
2020-08-21,120.9
2020-08-24,121.2
2020-08-25,127.1
2020-08-26,137.9
2020-08-27,144.25
2020-08-28,142.8
2020-08-31,143.2
2020-09-01,143.8
2020-09-02,150.3
2020-09-03,151.85
2020-09-04,147.8
2020-09-07,149.4
2020-09-08,142.3
2020-09-09,140.1
2020-09-10,143.3
2020-09-11,144.3
2020-09-14,148.55
2020-09-15,148.4
2020-09-16,151.45
2020-09-17,147.65
2020-09-18,147.9
2020-09-21,137.45
2020-09-22,133.1
2020-09-23,131.4
2020-09-24,122.8
2020-09-25,127.25
2020-09-28,132.85
2020-09-29,131.7
2020-09-30,133.3
2020-10-01,133.5
2020-10-05,133.9
2020-10-06,144.75
2020-10-07,141.0
2020-10-08,140.95
2020-10-09,138.45
2020-10-12,135.9
2020-10-13,134.1
2020-10-14,130.7
2020-10-15,126.95
2020-10-16,127.75
2020-10-19,128.25
2020-10-20,129.65
2020-10-21,130.25
2020-10-22,133.5
2020-10-23,137.0
2020-10-26,133.7
2020-10-27,135.65
2020-10-28,134.8
2020-10-29,131.9
2020-10-30,132.65
2020-11-02,132.85
2020-11-03,134.1
2020-11-04,135.9
2020-11-05,137.65
2020-11-06,139.0
2020-11-09,141.0
2020-11-10,146.0
2020-11-11,150.95
2020-11-12,151.2
2020-11-13,146.35
2020-11-14,148.85
2020-11-17,158.0
2020-11-18,173.5
2020-11-19,167.95
2020-11-20,169.1
