Date,Close
2020-01-01,334.45
2020-01-02,339.3
2020-01-03,333.7
2020-01-06,319.0
2020-01-07,318.4
2020-01-08,319.8
2020-01-09,330.2
2020-01-10,332.25
2020-01-13,330.75
2020-01-14,328.0
2020-01-15,324.25
2020-01-16,323.3
2020-01-17,318.0
2020-01-20,314.0
2020-01-21,313.7
2020-01-22,316.15
2020-01-23,323.2
2020-01-24,324.05
2020-01-27,316.2
2020-01-28,315.1
2020-01-29,316.45
2020-01-30,310.7
2020-01-31,318.45
2020-02-01,302.6
2020-02-03,298.1
2020-02-04,306.25
2020-02-05,311.0
2020-02-06,321.95
2020-02-07,320.55
2020-02-10,318.5
2020-02-11,324.35
2020-02-12,320.2
2020-02-13,327.45
2020-02-14,319.4
2020-02-17,314.2
2020-02-18,317.55
2020-02-19,320.35
2020-02-20,327.65
2020-02-24,322.95
2020-02-25,326.8
2020-02-26,328.2
2020-02-27,321.95
2020-02-28,303.0
2020-03-02,287.4
2020-03-03,289.85
2020-03-04,285.3
2020-03-05,288.5
2020-03-06,270.5
2020-03-09,253.45
2020-03-11,245.1
2020-03-12,212.6
2020-03-13,242.0
2020-03-16,223.35
2020-03-17,215.15
2020-03-18,215.2
2020-03-19,203.65
2020-03-20,209.85
2020-03-23,181.6
2020-03-24,183.2
2020-03-25,189.9
2020-03-26,192.75
2020-03-27,195.95
2020-03-30,186.9
2020-03-31,196.85
2020-04-01,186.55
2020-04-03,175.5
2020-04-07,186.4
2020-04-08,183.0
2020-04-09,187.75
2020-04-13,183.5
2020-04-15,182.35
2020-04-16,188.5
2020-04-17,193.25
2020-04-20,192.5
2020-04-21,184.75
2020-04-22,188.7
2020-04-23,186.7
2020-04-24,179.75
2020-04-27,180.9
2020-04-28,184.3
2020-04-29,190.1
2020-04-30,190.5
2020-05-04,178.85
2020-05-05,170.4
2020-05-06,171.1
2020-05-07,170.75
2020-05-08,166.65
2020-05-11,165.45
2020-05-12,166.9
2020-05-13,174.1
2020-05-14,167.95
2020-05-15,166.4
2020-05-18,155.3
2020-05-19,152.8
2020-05-20,153.4
2020-05-21,151.95
2020-05-22,150.85
2020-05-26,151.4
2020-05-27,158.6
2020-05-28,158.2
2020-05-29,161.3
2020-06-01,170.05
2020-06-02,170.25
2020-06-03,174.9
2020-06-04,174.05
2020-06-05,187.8
2020-06-08,186.8
2020-06-09,184.45
2020-06-10,187.7
2020-06-11,177.15
2020-06-12,179.15
2020-06-15,173.7
2020-06-16,172.9
2020-06-17,172.95
2020-06-18,179.65
2020-06-19,184.5
2020-06-22,187.7
2020-06-23,192.45
2020-06-24,184.6
2020-06-25,185.25
2020-06-26,184.6
2020-06-29,179.25
2020-06-30,178.45
2020-07-01,184.8
2020-07-02,185.45
2020-07-03,184.7
2020-07-06,188.05
2020-07-07,188.6
2020-07-08,191.9
2020-07-09,199.1
2020-07-10,195.6
2020-07-13,192.7
2020-07-14,186.05
2020-07-15,183.8
2020-07-16,186.25
2020-07-17,188.2
2020-07-20,190.75
2020-07-21,194.4
2020-07-22,192.0
2020-07-23,198.25
2020-07-24,191.95
2020-07-27,187.15
2020-07-28,189.45
2020-07-29,191.2
2020-07-30,186.55
2020-07-31,191.45
2020-08-03,192.25
2020-08-04,191.6
2020-08-05,191.45
2020-08-06,190.95
2020-08-07,190.65
2020-08-10,193.8
2020-08-11,195.05
2020-08-12,203.3
2020-08-13,201.9
2020-08-14,196.5
2020-08-17,193.1
2020-08-18,195.1
2020-08-19,197.05
2020-08-20,194.75
2020-08-21,198.4
2020-08-24,201.45
2020-08-25,207.95
2020-08-26,209.85
2020-08-27,215.65
2020-08-28,224.85
2020-08-31,212.0
2020-09-01,218.1
2020-09-02,216.25
2020-09-03,213.15
