Date,Close
2020-01-01,238.1
2020-01-02,239.85
2020-01-03,238.5
2020-01-06,235.1
2020-01-07,235.35
2020-01-08,234.2
2020-01-09,235.8
2020-01-10,238.0
2020-01-13,239.25
2020-01-14,243.25
2020-01-15,242.4
2020-01-16,240.75
2020-01-17,239.95
2020-01-20,241.9
2020-01-21,238.45
2020-01-22,238.05
2020-01-23,237.9
2020-01-24,238.15
2020-01-27,234.6
2020-01-28,230.75
2020-01-29,236.65
2020-01-30,234.05
2020-01-31,235.15
2020-02-01,219.0
2020-02-03,207.6
2020-02-04,215.65
2020-02-05,216.45
2020-02-06,213.55
2020-02-07,213.4
2020-02-10,210.55
2020-02-11,212.6
2020-02-12,213.05
2020-02-13,211.9
2020-02-14,207.7
2020-02-17,204.8
2020-02-18,203.85
2020-02-19,206.7
2020-02-20,207.45
2020-02-24,203.0
2020-02-25,201.8
2020-02-26,198.6
2020-02-27,197.55
2020-02-28,197.55
2020-03-02,195.3
2020-03-03,193.85
2020-03-04,187.5
2020-03-05,188.05
2020-03-06,181.75
2020-03-09,177.2
2020-03-11,175.65
2020-03-12,155.8
2020-03-13,162.25
2020-03-16,147.25
2020-03-17,149.15
2020-03-18,150.7
2020-03-19,161.85
2020-03-20,175.5
2020-03-23,154.3
2020-03-24,149.7
2020-03-25,147.35
2020-03-26,156.4
2020-03-27,163.2
2020-03-30,159.2
2020-03-31,171.7
2020-04-01,166.4
2020-04-03,177.9
2020-04-07,181.55
2020-04-08,178.65
2020-04-09,185.25
2020-04-13,181.6
2020-04-15,189.35
2020-04-16,186.35
2020-04-17,188.1
2020-04-20,180.7
2020-04-21,179.6
2020-04-22,182.25
2020-04-23,180.55
2020-04-24,180.05
2020-04-27,179.85
2020-04-28,179.45
2020-04-29,182.15
2020-04-30,182.05
2020-05-04,174.05
2020-05-05,173.9
2020-05-06,163.9
2020-05-07,161.0
2020-05-08,158.25
2020-05-11,158.45
2020-05-12,165.05
2020-05-13,165.4
2020-05-14,163.8
2020-05-15,164.65
2020-05-18,164.75
2020-05-19,170.75
2020-05-20,175.75
2020-05-21,188.95
2020-05-22,186.35
2020-05-26,191.7
2020-05-27,192.15
2020-05-28,190.65
2020-05-29,197.35
2020-06-01,200.55
2020-06-02,197.25
2020-06-03,196.7
2020-06-04,200.15
2020-06-05,200.0
2020-06-08,197.65
2020-06-09,198.5
2020-06-10,199.05
2020-06-11,194.25
2020-06-12,193.9
2020-06-15,187.2
2020-06-16,185.0
2020-06-17,181.2
2020-06-18,186.6
2020-06-19,184.05
2020-06-22,185.0
2020-06-23,185.85
2020-06-24,191.85
2020-06-25,202.1
2020-06-26,195.2
2020-06-29,197.25
2020-06-30,194.65
2020-07-01,202.9
2020-07-02,205.85
2020-07-03,207.55
2020-07-06,199.8
2020-07-07,194.25
2020-07-08,196.3
2020-07-09,195.45
2020-07-10,194.35
2020-07-13,197.55
2020-07-14,195.9
2020-07-15,198.7
2020-07-16,193.85
2020-07-17,194.05
2020-07-20,192.7
2020-07-21,192.25
2020-07-22,196.55
2020-07-23,200.7
2020-07-24,199.6
2020-07-27,196.4
2020-07-28,195.4
2020-07-29,196.7
2020-07-30,193.35
2020-07-31,194.15
2020-08-03,192.6
2020-08-04,193.65
2020-08-05,192.8
2020-08-06,195.35
2020-08-07,196.05
2020-08-10,198.85
2020-08-11,203.05
2020-08-12,204.2
2020-08-13,201.45
2020-08-14,196.4
2020-08-17,198.75
2020-08-18,198.55
2020-08-19,198.45
2020-08-20,195.8
2020-08-21,196.8
2020-08-24,196.7
2020-08-25,195.4
2020-08-26,194.95
2020-08-27,194.25
